INFO:root:Split Percent : 80.0% , Number of Iteration : 20 , Number of Hidden Layers : 1 , Number of Neurons per Hidden Layer : [8] , Learning Rate : 0.7 , Training Error : 0.1691214255385979 , Testing Error : 0.09072043392859173
INFO:root:Split Percent : 80.0% , Number of Iteration : 100 , Number of Hidden Layers : 1 , Number of Neurons per Hidden Layer : [7] , Learning Rate : 0.7 , Training Error : 0.03137535742406647 , Testing Error : 0.03460777140084439
INFO:root:Split Percent : 80.0% , Number of Iteration : 100 , Number of Hidden Layers : 1 , Number of Neurons per Hidden Layer : [7] , Learning Rate : 0.5 , Training Error : 0.049801249453123315 , Testing Error : 0.003804674328099612
INFO:root:Split Percent : 80.0% , Number of Iteration : 100 , Number of Hidden Layers : 1 , Number of Neurons per Hidden Layer : [5] , Learning Rate : 0.5 , Training Error : 0.047215998822821376 , Testing Error : 0.002950855891826212
INFO:root:Split Percent : 80.0% , Number of Iteration : 100 , Number of Hidden Layers : 1 , Number of Neurons per Hidden Layer : [4] , Learning Rate : 0.5 , Training Error : 0.033776565317879065 , Testing Error : 0.05097165193630693
INFO:root:Split Percent : 80.0% , Number of Iteration : 100 , Number of Hidden Layers : 1 , Number of Neurons per Hidden Layer : [3] , Learning Rate : 0.5 , Training Error : 0.02818932339663822 , Testing Error : 0.09891716581404773
INFO:root:Split Percent : 90.0% , Number of Iteration : 100 , Number of Hidden Layers : 2 , Number of Neurons per Hidden Layer : [2, 2] , Learning Rate : 0.5 , Training Error : 0.04550203136721834 , Testing Error : 0.2578452941926144
INFO:root:Split Percent : 80.0% , Number of Iteration : 100 , Number of Hidden Layers : 1 , Number of Neurons per Hidden Layer : [2] , Learning Rate : 0.5 , Training Error : 0.04145918905466187 , Testing Error : 0.03777477620676353
INFO:root:Split Percent : 80.0% , Number of Iteration : 100 , Number of Hidden Layers : 1 , Number of Neurons per Hidden Layer : [7] , Learning Rate : 0.5 , Training Error : 0.0337917481997511 , Testing Error : 0.07505390692863737
INFO:root:Split Percent : 80.0% , Number of Iteration : 100 , Number of Hidden Layers : 1 , Number of Neurons per Hidden Layer : [7] , Learning Rate : 0.5 , Training Error : 0.05063277147543559 , Testing Error : 0.053407822985130735
INFO:root:Split Percent : 80.0% , Number of Iteration : 100 , Number of Hidden Layers : 1 , Number of Neurons per Hidden Layer : [7] , Learning Rate : 0.7 , Training Error : 0.027113975208964095 , Testing Error : 0.10411852108877613
INFO:root:Split Percent : 80.0% , Number of Iteration : 100 , Number of Hidden Layers : 1 , Number of Neurons per Hidden Layer : [7] , Learning Rate : 0.5 , Training Error : 0.05029353205502652 , Testing Error : 0.00241129646854717
